Gene,WT_10,WT_12,WT_7,WT_8,mC4_4,mC4_5,mC4_6,mC4_7
ENSMUSG00000102693.1,0,0,0,0,0,0,0,0
ENSMUSG00000064842.1,0,0,0,0,0,0,0,0
ENSMUSG00000051951.5,2931,2024,3301,3558,3185,4244,4310,5733
ENSMUSG00000102851.1,0,0,0,0,0,0,1,0
ENSMUSG00000103377.1,2,1,0,5,0,1,0,0
ENSMUSG00000104017.1,4,0,0,0,0,0,0,0
ENSMUSG00000103025.1,0,0,0,0,0,0,0,0
ENSMUSG00000089699.1,0,0,0,0,0,0,0,0
ENSMUSG00000103201.1,0,0,0,0,0,0,0,0
ENSMUSG00000103147.1,0,0,0,2,0,0,4,0
ENSMUSG00000103161.1,0,4,0,0,0,4,0,0
ENSMUSG00000102331.1,12,38,5,7,9,20,10,2
ENSMUSG00000102348.1,24,8,16,24,18,10,11,15
ENSMUSG00000102592.1,0,1,0,0,0,0,0,0
ENSMUSG00000088333.2,0,0,0,0,0,0,0,0
ENSMUSG00000102343.1,0,0,0,0,0,0,0,0
ENSMUSG00000025900.12,4,6,10,8,2,11,16,10
ENSMUSG00000102948.1,0,0,0,0,0,2,0,0
ENSMUSG00000104123.1,0,0,0,0,0,0,0,0
ENSMUSG00000025902.13,243,158,279,284,221,319,289,262
ENSMUSG00000104238.1,0,0,8,0,0,9,2,1
ENSMUSG00000102269.1,0,3,2,1,9,2,0,2
ENSMUSG00000096126.1,8,0,5,0,0,2,0,7
ENSMUSG00000103003.1,0,0,0,0,0,0,0,0
ENSMUSG00000104328.1,0,0,0,2,0,0,0,0
ENSMUSG00000102735.1,0,0,0,0,0,0,0,0
ENSMUSG00000098104.1,11,5,4,2,4,8,19,6
ENSMUSG00000102175.1,0,0,0,0,4,0,0,0
ENSMUSG00000088000.1,2,0,0,0,0,0,0,0
ENSMUSG00000103265.1,0,0,0,0,0,0,0,0
ENSMUSG00000103922.1,31,19,32,14,18,30,32,39
ENSMUSG00000033845.13,2296,2031,2506,2046,2452,3369,3190,3103
ENSMUSG00000102275.1,4,17,7,26,8,16,22,9
ENSMUSG00000025903.14,1899,1399,2020,1618,1941,2490,2571,2335
ENSMUSG00000104217.1,0,0,0,0,0,0,0,0
ENSMUSG00000033813.15,3736,3041,4523,3402,4108,5262,5747,4846
ENSMUSG00000062588.4,6,8,8,20,4,5,0,13
ENSMUSG00000103280.1,307,186,308,292,359,388,486,403
ENSMUSG00000002459.17,3491,2492,4398,3266,3953,5116,4870,4305
ENSMUSG00000091305.1,0,0,0,0,0,0,0,0
ENSMUSG00000102653.1,0,0,0,0,0,0,0,0
ENSMUSG00000085623.1,3,0,0,0,1,0,4,2
ENSMUSG00000091665.1,0,0,2,0,0,0,0,0
ENSMUSG00000033793.12,15209,12723,15016,12667,13892,20552,19746,18718
ENSMUSG00000104352.1,0,2,0,2,0,0,0,0
ENSMUSG00000104046.1,0,4,2,0,0,0,0,0
ENSMUSG00000102907.1,0,3,0,0,0,0,0,0
ENSMUSG00000025905.14,76,84,63,32,299,120,168,266
ENSMUSG00000103936.1,0,0,0,0,0,0,0,0
ENSMUSG00000093015.1,0,0,0,0,0,0,0,0
ENSMUSG00000103519.1,0,0,0,0,0,0,0,0
ENSMUSG00000033774.4,106,87,72,54,64,78,87,98
ENSMUSG00000103090.1,0,0,0,0,0,0,0,0
ENSMUSG00000025907.14,9426,7256,9950,8299,9214,13014,12025,12820
ENSMUSG00000090031.2,67,72,120,147,86,159,110,123
ENSMUSG00000087247.3,0,0,0,2,0,0,0,0
ENSMUSG00000103355.1,0,2,2,0,1,1,4,0
ENSMUSG00000102706.1,0,0,0,0,0,0,0,2
ENSMUSG00000103845.1,72,47,88,90,70,75,80,123
ENSMUSG00000033740.17,93,53,100,66,82,107,86,112
ENSMUSG00000103329.2,4,0,4,2,4,5,2,0
ENSMUSG00000104385.1,0,0,0,0,0,0,0,0
ENSMUSG00000102135.1,0,1,4,2,3,3,1,2
ENSMUSG00000103282.1,0,0,0,0,0,0,0,0
ENSMUSG00000102534.1,0,0,0,0,0,0,0,0
ENSMUSG00000102213.1,0,0,0,0,0,0,0,0
ENSMUSG00000103629.1,0,0,0,0,0,0,0,0
ENSMUSG00000051285.17,8650,5660,8906,7481,8107,11200,10763,10316
ENSMUSG00000098201.1,0,3,0,0,0,0,1,0
ENSMUSG00000103509.1,22,30,42,45,34,42,45,67
ENSMUSG00000048538.7,2,0,6,0,2,6,0,2
ENSMUSG00000103709.1,0,0,0,0,0,0,0,0
ENSMUSG00000077244.1,0,0,0,0,0,0,0,0
ENSMUSG00000102768.1,0,0,0,0,0,0,0,0
ENSMUSG00000097797.6,62,66,87,58,49,76,68,63
ENSMUSG00000103498.1,0,0,0,0,1,0,0,0
ENSMUSG00000103067.1,0,0,0,0,0,0,1,0
ENSMUSG00000102320.1,0,0,0,0,2,0,0,0
ENSMUSG00000104226.1,0,0,0,0,0,0,0,0
ENSMUSG00000103903.1,0,0,0,0,2,0,0,0
ENSMUSG00000103557.1,0,0,0,0,0,0,0,0
ENSMUSG00000025909.16,3670,2237,3417,3121,2867,4488,3778,3704
ENSMUSG00000102647.1,1,0,0,0,0,0,0,0
ENSMUSG00000086235.1,18,5,8,10,10,14,11,14
ENSMUSG00000102253.1,0,0,0,0,0,2,0,0
ENSMUSG00000093970.1,0,0,0,0,0,0,0,0
ENSMUSG00000103884.1,0,0,0,0,0,0,1,0
ENSMUSG00000084353.1,0,1,0,0,0,0,0,0
ENSMUSG00000103933.1,1,2,1,2,3,4,1,9
ENSMUSG00000076135.1,5,0,1,2,3,2,4,2
ENSMUSG00000086195.1,0,0,0,0,0,0,0,0
ENSMUSG00000104504.1,0,0,0,0,0,0,0,0
ENSMUSG00000066693.2,0,0,0,2,0,4,2,0
ENSMUSG00000102316.1,5,14,0,0,9,0,3,1
ENSMUSG00000103819.1,0,0,1,0,0,0,0,0
ENSMUSG00000102871.1,0,1,0,0,0,0,0,0
ENSMUSG00000101571.2,0,0,2,0,0,0,2,4
ENSMUSG00000104428.1,0,0,0,0,0,0,0,0
ENSMUSG00000102272.1,0,0,0,0,0,1,0,0
ENSMUSG00000065625.1,0,0,0,0,0,0,0,0
ENSMUSG00000103411.1,0,0,0,1,1,0,0,0
ENSMUSG00000061024.8,1350,922,1550,1039,1291,1920,1707,1413
ENSMUSG00000025911.14,1175,1000,1363,952,1071,1453,1262,860
ENSMUSG00000079671.8,44,23,58,39,27,54,59,29
ENSMUSG00000081441.3,2,3,0,0,0,1,3,4
ENSMUSG00000067879.3,25011,22741,28523,23749,33357,41587,47131,44714
ENSMUSG00000099827.1,0,0,0,0,0,0,0,0
ENSMUSG00000025912.16,327,239,400,309,330,418,351,410
ENSMUSG00000045210.8,7426,5766,8542,7002,7680,10089,11033,10690
ENSMUSG00000097893.8,14,13,24,18,14,6,12,18
ENSMUSG00000025915.14,1004,797,1212,1110,1191,1413,1407,1245
ENSMUSG00000046334.4,1,0,0,0,0,2,0,1
ENSMUSG00000088916.1,0,0,0,0,0,0,0,0
ENSMUSG00000046101.16,154,112,199,136,105,187,147,122
ENSMUSG00000098234.7,487,469,675,444,531,702,798,525
