ensembl_gene_id,external_gene_name,mmusculus_homolog_ensembl_gene,mmusculus_homolog_associated_gene_name,mmusculus_homolog_orthology_type,mmusculus_homolog_orthology_confidence
ENSG00000291420,ACTG1,,,,NA
ENSG00000292343,AKAP17A,,,,NA
ENSG00000288169,ACAP1,,,,NA
ENSG00000285501,AGBL2,,,,NA
ENSG00000284814,ADCY4,,,,NA
ENSG00000291597,ACTR1B,,,,NA
ENSG00000288353,ARHGAP17,,,,NA
ENSG00000285451,ADCK5,,,,NA
ENSG00000291796,APEX1,,,,NA
ENSG00000291544,APOB,,,,NA
ENSG00000165566,AMER2,ENSMUSG00000021986,Amer2,ortholog_one2one,1
ENSG00000282844,ACTN4,,,,NA
ENSG00000284980,AGPAT5,,,,NA
ENSG00000281385,AP2A2,,,,NA
ENSG00000262139,ANO4,,,,NA
ENSG00000280759,AP2A2,,,,NA
ENSG00000276495,APBA2,,,,NA
ENSG00000275568,ARHGAP11A,,,,NA
ENSG00000276016,ABR,,,,NA
ENSG00000278741,ABR,,,,NA
ENSG00000184675,AMER1,ENSMUSG00000050332,Amer1,ortholog_one2one,1
ENSG00000275176,ACACA,,,,NA
ENSG00000278183,ABCC1,,,,NA
ENSG00000273780,ARHGAP23,,,,NA
ENSG00000134884,ARGLU1,ENSMUSG00000040459,Arglu1,ortholog_one2one,1
ENSG00000101745,ANKRD12,ENSMUSG00000034647,Ankrd12,ortholog_one2one,1
ENSG00000125257,ABCC4,ENSMUSG00000032849,Abcc4,ortholog_one2one,1
ENSG00000153531,ADPRHL1,ENSMUSG00000031448,Adprhl1,ortholog_one2one,0
ENSG00000198576,ARC,ENSMUSG00000022602,Arc,ortholog_one2one,1
ENSG00000101444,AHCY,ENSMUSG00000048087,Ahcyl,ortholog_one2many,0
ENSG00000101444,AHCY,ENSMUSG00000027597,Ahcy,ortholog_one2many,1
ENSG00000242247,ARFGAP3,ENSMUSG00000054277,Arfgap3,ortholog_one2one,1
ENSG00000230778,ANKRD63,ENSMUSG00000078137,Ankrd63,ortholog_one2one,1
ENSG00000100280,AP1B1,ENSMUSG00000009090,Ap1b1,ortholog_one2one,1
ENSG00000183148,ANKRD20A2P,,,,NA
ENSG00000141385,AFG3L2,ENSMUSG00000024527,Afg3l2,ortholog_one2one,1
ENSG00000023516,AKAP11,ENSMUSG00000022016,Akap11,ortholog_one2one,1
ENSG00000150594,ADRA2A,ENSMUSG00000033717,Adra2a,ortholog_one2one,1
ENSG00000118492,ADGB,ENSMUSG00000050994,Adgb,ortholog_one2one,1
ENSG00000181915,ADO,ENSMUSG00000057134,Ado,ortholog_one2one,1
ENSG00000104899,AMH,ENSMUSG00000035262,Amh,ortholog_one2one,1
ENSG00000275199,AKT3,,,,NA
ENSG00000100997,ABHD12,ENSMUSG00000032046,Abhd12,ortholog_one2one,1
ENSG00000120697,ALG5,ENSMUSG00000036632,Alg5,ortholog_one2one,1
ENSG00000004846,ABCB5,ENSMUSG00000072791,Abcb5,ortholog_one2one,1
ENSG00000160216,AGPAT3,ENSMUSG00000001211,Agpat3,ortholog_one2one,1
ENSG00000262327,AGK,,,,NA
ENSG00000279247,AK6,,,,NA
ENSG00000184831,APOO,ENSMUSG00000079508,Apoo,ortholog_one2one,1
ENSG00000253710,ALG11,ENSMUSG00000063362,Alg11,ortholog_one2one,1
ENSG00000182858,ALG12,ENSMUSG00000035845,Alg12,ortholog_one2one,1
ENSG00000236873,AGPAT1,,,,NA
ENSG00000198590,APRG1,,,,NA
ENSG00000142192,APP,ENSMUSG00000022892,App,ortholog_one2one,1
ENSG00000180777,ANKRD30B,,,,NA
ENSG00000165923,AGBL2,ENSMUSG00000040812,Agbl2,ortholog_one2one,1
ENSG00000064687,ABCA7,ENSMUSG00000035722,Abca7,ortholog_one2one,1
ENSG00000236149,ABCF1,,,,NA
ENSG00000226467,AGPAT1,,,,NA
ENSG00000276497,APBA1,,,,NA
ENSG00000282230,ADAM9,,,,NA
ENSG00000232434,AJM1,ENSMUSG00000029419,Ajm1,ortholog_one2one,1
ENSG00000231488,ABHD16A,,,,NA
ENSG00000101901,ALG13,ENSMUSG00000041718,Alg13,ortholog_one2one,1
ENSG00000124198,ARFGEF2,ENSMUSG00000074582,Arfgef2,ortholog_one2one,1
ENSG00000167315,ACAA2,ENSMUSG00000036880,Acaa2,ortholog_one2one,1
ENSG00000204172,AGAP9,,,,NA
ENSG00000197976,AKAP17A,ENSMUSG00000121606,Akap17a,ortholog_one2one,1
ENSG00000097007,ABL1,ENSMUSG00000026842,Abl1,ortholog_one2one,1
ENSG00000235676,ABHD16A,,,,NA
ENSG00000232169,ABCF1,,,,NA
ENSG00000163295,ALPI,ENSMUSG00000036500,Akp3,ortholog_many2many,1
ENSG00000163295,ALPI,ENSMUSG00000079440,Alpi,ortholog_many2many,0
ENSG00000163295,ALPI,ENSMUSG00000026246,Alppl2,ortholog_many2many,0
ENSG00000140955,ADAD2,ENSMUSG00000024266,Adad2,ortholog_one2one,1
ENSG00000131069,ACSS2,ENSMUSG00000027605,Acss2,ortholog_one2one,1
ENSG00000288324,ADGRL1,,,,NA
ENSG00000132965,ALOX5AP,ENSMUSG00000060063,Alox5ap,ortholog_one2one,1
ENSG00000130402,ACTN4,ENSMUSG00000054808,Actn4,ortholog_one2one,1
ENSG00000235711,ANKRD34C,ENSMUSG00000047606,Ankrd34c,ortholog_one2one,1
ENSG00000159842,ABR,ENSMUSG00000017631,Abr,ortholog_one2one,1
ENSG00000072778,ACADVL,ENSMUSG00000018574,Acadvl,ortholog_one2one,1
ENSG00000183044,ABAT,ENSMUSG00000057880,Abat,ortholog_one2one,1
ENSG00000236342,ABCF1,,,,NA
ENSG00000137845,ADAM10,ENSMUSG00000054693,Adam10,ortholog_one2one,1
ENSG00000248144,ADH1C,ENSMUSG00000074207,Adh1,ortholog_one2many,1
ENSG00000224552,ABHD16A,,,,NA
ENSG00000225989,ABCF1,,,,NA
ENSG00000135541,AHI1,ENSMUSG00000019986,Ahi1,ortholog_one2one,1
ENSG00000206403,ABHD16A,,,,NA
ENSG00000154065,ANKRD29,ENSMUSG00000057766,Ankrd29,ortholog_one2one,1
ENSG00000236063,ABHD16A,,,,NA
ENSG00000151726,ACSL1,ENSMUSG00000018796,Acsl1,ortholog_one2one,1
ENSG00000156709,AIFM1,ENSMUSG00000036932,Aifm1,ortholog_one2one,1
ENSG00000167522,ANKRD11,ENSMUSG00000035569,Ankrd11,ortholog_one2one,1
ENSG00000235758,AGPAT1,,,,NA
ENSG00000230475,ABHD16A,,,,NA
ENSG00000140350,ANP32A,ENSMUSG00000032249,Anp32a,ortholog_one2many,1
ENSG00000132623,ANKEF1,ENSMUSG00000074771,Ankef1,ortholog_one2one,1
ENSG00000227642,AGPAT1,,,,NA
ENSG00000103740,ACSBG1,ENSMUSG00000032281,Acsbg1,ortholog_one2one,1
ENSG00000231129,ABCF1,,,,NA
ENSG00000114019,AMOTL2,ENSMUSG00000032531,Amotl2,ortholog_one2one,1
ENSG00000228892,AGPAT1,,,,NA
ENSG00000071205,ARHGAP10,ENSMUSG00000037148,Arhgap10,ortholog_one2one,1
ENSG00000206324,AGPAT1,,,,NA
ENSG00000155189,AGPAT5,ENSMUSG00000031467,Agpat5,ortholog_one2one,1
ENSG00000173137,ADCK5,ENSMUSG00000022550,Adck5,ortholog_one2one,1
ENSG00000206490,ABCF1,,,,NA
ENSG00000059573,ALDH18A1,ENSMUSG00000025007,Aldh18a1,ortholog_one2one,1
ENSG00000148700,ADD3,ENSMUSG00000025026,Add3,ortholog_one2one,1
ENSG00000184254,ALDH1A3,ENSMUSG00000015134,Aldh1a3,ortholog_one2one,1
ENSG00000136379,ABHD17C,ENSMUSG00000038459,Abhd17c,ortholog_one2one,1
ENSG00000175220,ARHGAP1,ENSMUSG00000027247,Arhgap1,ortholog_one2one,1
ENSG00000198826,ARHGAP11A,ENSMUSG00000041219,Arhgap11a,ortholog_one2one,1
ENSG00000171885,AQP4,ENSMUSG00000024411,Aqp4,ortholog_one2one,1
ENSG00000166747,AP1G1,ENSMUSG00000031731,Ap1g1,ortholog_one2one,1
ENSG00000069431,ABCC9,ENSMUSG00000030249,Abcc9,ortholog_one2one,1
ENSG00000100412,ACO2,ENSMUSG00000022477,Aco2,ortholog_one2one,1
ENSG00000169067,ACTBL2,ENSMUSG00000055194,Actbl2,ortholog_one2one,1
ENSG00000130706,ADRM1,ENSMUSG00000042165,Adrm1b,ortholog_one2many,0
ENSG00000130706,ADRM1,ENSMUSG00000039041,Adrm1,ortholog_one2many,1
ENSG00000169188,APEX2,ENSMUSG00000025269,Apex2,ortholog_one2one,1
ENSG00000165322,ARHGAP12,ENSMUSG00000041225,Arhgap12,ortholog_one2one,1
ENSG00000242802,AP5Z1,ENSMUSG00000039623,Ap5z1,ortholog_one2one,1
ENSG00000077080,ACTL6B,ENSMUSG00000029712,Actl6b,ortholog_one2one,1
ENSG00000185567,AHNAK2,ENSMUSG00000118667,Ahnak2,ortholog_one2one,0
ENSG00000204310,AGPAT1,ENSMUSG00000034254,Agpat1,ortholog_one2one,1
ENSG00000013523,ANGEL1,ENSMUSG00000021257,Angel1,ortholog_one2one,1
ENSG00000033050,ABCF2,ENSMUSG00000028953,Abcf2,ortholog_one2one,1
ENSG00000124608,AARS2,ENSMUSG00000023938,Aars2,ortholog_one2one,1
ENSG00000129467,ADCY4,ENSMUSG00000022220,Adcy4,ortholog_one2one,1
ENSG00000120907,ADRA1A,ENSMUSG00000045875,Adra1a,ortholog_one2one,1
ENSG00000131043,AAR2,ENSMUSG00000027628,Aar2,ortholog_one2one,1
ENSG00000129968,ABHD17A,ENSMUSG00000003346,Abhd17a,ortholog_one2one,1
ENSG00000081760,AACS,ENSMUSG00000029482,Aacs,ortholog_one2one,1
ENSG00000128335,APOL2,ENSMUSG00000071716,Apol7e,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000050982,Apol10a,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000044309,Apol7c,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000068246,Apol9b,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000068252,Apol7b,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000091650,Apol11a,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000091694,Apol11b,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000050014,Apol10b,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000010601,Apol7a,ortholog_many2many,0
ENSG00000128335,APOL2,ENSMUSG00000057346,Apol9a,ortholog_many2many,0
ENSG00000183773,AIFM3,ENSMUSG00000022763,Aifm3,ortholog_one2one,1
ENSG00000154930,ACSS1,ENSMUSG00000027452,Acss1,ortholog_one2one,1
ENSG00000131269,ABCB7,ENSMUSG00000031333,Abcb7,ortholog_one2one,1
ENSG00000118507,AKAP7,ENSMUSG00000039166,Akap7,ortholog_one2one,1
ENSG00000103591,AAGAB,ENSMUSG00000037257,Aagab,ortholog_one2one,1
ENSG00000101473,ACOT8,ENSMUSG00000017307,Acot8,ortholog_one2one,1
ENSG00000135046,ANXA1,ENSMUSG00000024659,Anxa1,ortholog_one2one,1
ENSG00000123908,AGO2,ENSMUSG00000036698,Ago2,ortholog_one2one,1
ENSG00000125843,AP5S1,ENSMUSG00000068264,Ap5s1,ortholog_one2one,1
ENSG00000183684,ALYREF,ENSMUSG00000090854,Alyreffm10,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000091779,Alyreffm11,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000097878,Alyreffm13,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000094144,Alyreffm17,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000060244,Alyref2,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000096640,Alyreffm9,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000094215,Alyreffm2,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000095022,Alyreffm15,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000086727,Alyreffm1,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000095673,Alyreffm12,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000025134,Alyref,ortholog_one2many,1
ENSG00000183684,ALYREF,ENSMUSG00000096744,Alyreffm8,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000091101,Alyreffm5,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000097427,Alyreffm14,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000112931,Alyreffm6,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000117091,Alyreffm3,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000094314,Alyreffm4,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000097550,Alyreffm16,ortholog_one2many,0
ENSG00000183684,ALYREF,ENSMUSG00000112856,Alyreffm7,ortholog_one2many,0
ENSG00000165092,ALDH1A1,ENSMUSG00000024747,Aldh1a7,ortholog_one2many,0
ENSG00000165092,ALDH1A1,ENSMUSG00000053279,Aldh1a1,ortholog_one2many,1
ENSG00000204149,AGAP6,,,,NA
ENSG00000085563,ABCB1,ENSMUSG00000040584,Abcb1a,ortholog_one2many,1
